Website Inventory,Region,Country,Locale,Purpose,TechStack,Account/Instance ID,Ownership/control contact,Business Stakeholders,Agency information,Paid by?,Remarks
https://www.resmed.my,APAC,Hong Kong,en-my,Brand,Hubspot,(EA Instance) (ID: 3445757),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.ph,APAC,Philippines,en-ph,Brand,Hubspot,(EA Instance) (ID: 3445757),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.co.th,APAC,Thailand,en,Brand,Hubspot,(EA Instance) (ID: 3445757),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.vn,APAC,Vietnam,en,Brand,Hubspot,(EA Instance) (ID: 3445757),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.tw,APAC,Taiwan,zh-tw,Brand,Hubspot,(EA Instance) (ID: 3445757),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.la,APAC,Laos,en,Brand,Hubspot,(EA Instance) (ID: 3445757),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.asia/en-mm,APAC,Myanmar,en,Brand,Hubspot,(EA Instance) (ID: 3445757),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.asia/en-kh,APAC,Cambodia,en,Brand,Hubspot,(EA Instance) (ID: 3445757),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
https://www.resmed.asia/en-bn,APAC,Brunei,en,Brand,Hubspot,(EA Instance) (ID: 3445757),"Vish, Preeti, Joel, Adam",,"TransFunnel (Gautham Ramachandra, Amogh Jain)",Infra and agency cost both by marketing,
www.resmed.co.uk,EU,United Kingdom,en-gb,Brand,"WP, AWS",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Adam",,,,
https://shop.resmed.com/GB/en,EU,United Kingdom,en-gb,B2C E-Commerce,SAP Hybris,,Jan Nee,,,,
https://support.resmed.com/en-gb,EU,United Kingdom,en-gb,Support,"AWS, WordPress",,"Trivikram, Ramanjeet",,,,
https://www.hifae-hft.com,EU,United Kingdom,en-us,Landing page,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,
https://www.hilot-hft.com,EU,United Kingdom,en-us,Landing page,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,
www.resmed.fr,EU,France,fr-fr,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://www.hifae.fr,EU,France,fr-fr,Landing page,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,
www.syndrome-apnee-sommeil.fr,EU,France,fr-fr,Awareness,"AWS, Savvii",,"Vish, Preeti, Joel, Florian",,,,
www.resmed.de,EU,Germany,de-de,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
www.resmed-healthcare.de,EU,Germany,de-de,SAAS,"AWS, WordPress",171925097648 (rmd-app-ghms-prd),"Vish, Preeti, Joel, Florian",,,,
www.deinschlaf-deintag.de,EU,Germany,de-de,Awareness,,,"Vish, Preeti, Joel, Florian",,,,
https://www.resmedshop.de,EU,Germany,de-de,B2C E-Commerce,Shopware,,Jan Nee,,,,
https://airdx.resmed.de,EU,Germany,de-de,,,,,,,,
https://www.resmed.es,EU,Spain,es-es,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://www.resmed.pt,EU,Portugal,pt-pt,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://www.resmed.it,EU,Italy,it-it,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://www.resmed.nl,EU,Netherlands,nl-nl,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://me.resmed.com,EU,Middle East,en-us,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://www.resmed.cz,EU,Czechia,cs-cs,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://partner.resmed.cz,EU,Czechia,cs-cs,B2B,,,,,,,
https://www.unimedis.cz,EU,Czechia,cs-cs,,,,,,,,
https://zdrowysen.info,EU,Poland,pl,Awareness,,,,,,,Site redirecting to ResMed.pl but old site still need decommissioning
https://www.sklepresmed.pl,EU,Poland,pl,B2C E-Commerce,Shoper,,Jan Nee,,,,
https://www.resmed.pl,EU,Poland,pl-pl,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://www.resmed.ch,EU,Switzerland,de-ch,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://www.schlafundatmung.ch,EU,Switzerland,de-ch,Awareness,,,,,,,
https://www.resmed.se,EU,Sweden,sv-se,Brand,"AWS, WordPress",270184546258 (rmd-app-everest-prd),"Vish, Preeti, Joel, Florian",,,,
https://assets.resmed.se,EU,Sweden,sv-se,DAM,WP on Savvii,,"Vish, Preeti, Joel, Florian",,,,Should be decommissioned after DAM launch
